sample,hours,gam_24h,gam_1h
0,0,168.93238830566406,131.32420349121094
0,1,173.44122314453125,132.13287353515625
0,2,163.57911682128906,126.43409729003906
0,3,152.34478759765625,120.44097137451172
0,4,142.0894012451172,124.3346939086914
0,5,139.56727600097656,127.2732162475586
0,6,142.19017028808594,142.31948852539062
0,7,148.0892791748047,165.98208618164062
0,8,138.56851196289062,179.82150268554688
0,9,140.23583984375,176.50149536132812
0,10,134.6854705810547,177.88241577148438
0,11,132.9512939453125,188.81768798828125
0,12,140.95323181152344,185.60269165039062
0,13,151.36703491210938,181.46363830566406
0,14,167.62191772460938,176.73011779785156
0,15,178.05116271972656,180.90757751464844
0,16,182.94189453125,179.2577362060547
0,17,186.30589294433594,193.82704162597656
0,18,185.5579833984375,189.8641815185547
0,19,179.23492431640625,174.911865234375
0,20,174.2491455078125,169.819580078125
0,21,175.71188354492188,152.69723510742188
0,22,178.2465362548828,143.93917846679688
0,23,176.0232696533203,137.00241088867188
1,0,178.0063018798828,103.57384490966797
1,1,174.59190368652344,99.0044174194336
1,2,165.7891082763672,91.12638092041016
1,3,154.2576446533203,85.98115539550781
1,4,139.11825561523438,86.703857421875
1,5,132.05990600585938,92.8580322265625
1,6,115.2990951538086,120.36111450195312
1,7,108.33616638183594,127.62017822265625
1,8,108.711181640625,175.82846069335938
1,9,90.51024627685547,169.4665985107422
1,10,82.56099700927734,166.61672973632812
1,11,80.69083404541016,151.67196655273438
1,12,91.11205291748047,152.2817840576172
1,13,97.39100646972656,152.4078826904297
1,14,116.8753433227539,146.23419189453125
1,15,124.06287384033203,114.39531707763672
1,16,132.9784393310547,110.28692626953125
1,17,131.44993591308594,103.48894500732422
1,18,131.15060424804688,126.22051239013672
1,19,125.56390380859375,129.97805786132812
1,20,120.6678695678711,117.30196380615234
1,21,118.41143035888672,97.85124969482422
1,22,121.4200668334961,76.24015808105469
1,23,123.927734375,50.75127410888672
2,0,111.28060913085938,96.40807342529297
2,1,111.93587493896484,95.87448120117188
2,2,110.51310729980469,85.64026641845703
2,3,109.9978256225586,90.31261444091797
2,4,114.99991607666016,99.41627502441406
2,5,112.17672729492188,106.03184509277344
2,6,122.09734344482422,123.38128662109375
2,7,112.43118286132812,150.19613647460938
2,8,116.90262603759766,163.62376403808594
2,9,113.52680969238281,126.28002166748047
2,10,107.03306579589844,128.83811950683594
2,11,116.7944564819336,138.13699340820312
2,12,116.50048828125,145.39459228515625
2,13,125.49510192871094,151.0072479248047
2,14,134.70701599121094,150.96670532226562
2,15,136.12319946289062,156.58851623535156
2,16,143.08847045898438,156.04745483398438
2,17,148.53419494628906,162.68531799316406
2,18,154.71253967285156,167.98484802246094
2,19,152.9589385986328,161.91639709472656
2,20,154.3975067138672,155.7569122314453
2,21,159.37359619140625,144.02096557617188
2,22,164.0103759765625,131.67027282714844
2,23,172.9761505126953,119.84545135498047
3,0,185.56370544433594,126.01844787597656
3,1,183.81768798828125,127.8251724243164
3,2,167.79837036132812,119.53185272216797
3,3,158.1406707763672,104.54277801513672
3,4,142.82737731933594,104.3467788696289
3,5,140.81246948242188,129.890625
